jd_file,project_index,project_name,project_description,current_label,sem_sim,ce_score,human_label,human_notes
jd_20260520075903_7_2.json,0,SYSTEM SCORING IMAGE SCAN ANSWER SHEET,Designed an end-to-end Computer Vision system for automatic multiple-choice answer sheet grading. Built and augmented a custom dataset (5640 images) to improve model robustness. Trained YOLOv8 to detect answer bubbles and classify filled/unfilled responses. Achieved 100% accuracy on clean PDF inputs with 67.5 ms/image inference speed. Deployed the system as a Flask-based local web application.,0.1160594356931997,0.8148050308227539,-8.887646675109863,,
jd_20260520075903_7_2.json,1,TRAFFIC SIGN RECOGNITION,"Built a CNN-based image classification system for traffic sign recognition. Performed EDA, handled class imbalance, and applied data preprocessing techniques. Evaluated model performance using Accuracy, Precision, and F1-score. Achieved 90.44% accuracy with 9.07 ms/image inference time. Deployed a Flask web demo for real-time testing.",0.6738916474287233,0.8036473393440247,-8.949518203735352,,
jd_20260520081926_7_1.json,0,SYSTEM SCORING IMAGE SCAN ANSWER SHEET,Designed an end-to-end Computer Vision system for automatic multiple-choice answer sheet grading. Built and augmented a custom dataset (5640 images) to improve model robustness. Trained YOLOv8 to detect answer bubbles and classify filled/unfilled responses. Achieved 100% accuracy on clean PDF inputs with 67.5 ms/image inference speed. Deployed the system as a Flask-based local web application.,0.010771383028417599,0.7858278751373291,-8.894635200500488,,
jd_20260520081926_7_1.json,1,TRAFFIC SIGN RECOGNITION,"Built a CNN-based image classification system for traffic sign recognition. Performed EDA, handled class imbalance, and applied data preprocessing techniques. Evaluated model performance using Accuracy, Precision, and F1-score. Achieved 90.44% accuracy with 9.07 ms/image inference time. Deployed a Flask web demo for real-time testing.",0.4,0.7704505920410156,-8.842226028442383,,
jd_20260520083521_7_22.json,0,SYSTEM SCORING IMAGE SCAN ANSWER SHEET,Designed an end-to-end Computer Vision system for automatic multiple-choice answer sheet grading. Built and augmented a custom dataset (5640 images) to improve model robustness. Trained YOLOv8 to detect answer bubbles and classify filled/unfilled responses. Achieved 100% accuracy on clean PDF inputs with 67.5 ms/image inference speed. Deployed the system as a Flask-based local web application.,0.7142146622659757,0.8344448804855347,-7.877645492553711,,
jd_20260520083521_7_22.json,1,TRAFFIC SIGN RECOGNITION,"Built a CNN-based image classification system for traffic sign recognition. Performed EDA, handled class imbalance, and applied data preprocessing techniques. Evaluated model performance using Accuracy, Precision, and F1-score. Achieved 90.44% accuracy with 9.07 ms/image inference time. Deployed a Flask web demo for real-time testing.",0.23862707016031548,0.8228191137313843,-8.081767082214355,,
jd_20260520083752_7_23.json,0,SYSTEM SCORING IMAGE SCAN ANSWER SHEET,Designed an end-to-end Computer Vision system for automatic multiple-choice answer sheet grading. Built and augmented a custom dataset (5640 images) to improve model robustness. Trained YOLOv8 to detect answer bubbles and classify filled/unfilled responses. Achieved 100% accuracy on clean PDF inputs with 67.5 ms/image inference speed. Deployed the system as a Flask-based local web application.,0.12197724087781056,0.8180666565895081,-8.948471069335938,,
jd_20260520083752_7_23.json,1,TRAFFIC SIGN RECOGNITION,"Built a CNN-based image classification system for traffic sign recognition. Performed EDA, handled class imbalance, and applied data preprocessing techniques. Evaluated model performance using Accuracy, Precision, and F1-score. Achieved 90.44% accuracy with 9.07 ms/image inference time. Deployed a Flask web demo for real-time testing.",0.6079766581749361,0.8067396879196167,-8.987873077392578,,
jd_20260520160349_7_24.json,0,SYSTEM SCORING IMAGE SCAN ANSWER SHEET,Designed an end-to-end Computer Vision system for automatic multiple-choice answer sheet grading. Built and augmented a custom dataset (5640 images) to improve model robustness. Trained YOLOv8 to detect answer bubbles and classify filled/unfilled responses. Achieved 100% accuracy on clean PDF inputs with 67.5 ms/image inference speed. Deployed the system as a Flask-based local web application.,0.09804392423899487,0.8060032725334167,-9.283110618591309,,
jd_20260520160349_7_24.json,1,TRAFFIC SIGN RECOGNITION,"Built a CNN-based image classification system for traffic sign recognition. Performed EDA, handled class imbalance, and applied data preprocessing techniques. Evaluated model performance using Accuracy, Precision, and F1-score. Achieved 90.44% accuracy with 9.07 ms/image inference time. Deployed a Flask web demo for real-time testing.",0.6083664430564452,0.8038802742958069,-9.206825256347656,,
jd_20260520160959_7_25.json,0,SYSTEM SCORING IMAGE SCAN ANSWER SHEET,Designed an end-to-end Computer Vision system for automatic multiple-choice answer sheet grading. Built and augmented a custom dataset (5640 images) to improve model robustness. Trained YOLOv8 to detect answer bubbles and classify filled/unfilled responses. Achieved 100% accuracy on clean PDF inputs with 67.5 ms/image inference speed. Deployed the system as a Flask-based local web application.,0.7057507826206058,0.8230177164077759,-8.179951667785645,,
jd_20260520160959_7_25.json,1,TRAFFIC SIGN RECOGNITION,"Built a CNN-based image classification system for traffic sign recognition. Performed EDA, handled class imbalance, and applied data preprocessing techniques. Evaluated model performance using Accuracy, Precision, and F1-score. Achieved 90.44% accuracy with 9.07 ms/image inference time. Deployed a Flask web demo for real-time testing.",0.21810244012848357,0.8192834258079529,-8.74802017211914,,
jd_20260521025019_7_26.json,0,SYSTEM SCORING IMAGE SCAN ANSWER SHEET,Designed an end-to-end Computer Vision system for automatic multiple-choice answer sheet grading. Built and augmented a custom dataset (5640 images) to improve model robustness. Trained YOLOv8 to detect answer bubbles and classify filled/unfilled responses. Achieved 100% accuracy on clean PDF inputs with 67.5 ms/image inference speed. Deployed the system as a Flask-based local web application.,0.7087851958002853,0.830284595489502,-7.93818473815918,,
jd_20260521025019_7_26.json,1,TRAFFIC SIGN RECOGNITION,"Built a CNN-based image classification system for traffic sign recognition. Performed EDA, handled class imbalance, and applied data preprocessing techniques. Evaluated model performance using Accuracy, Precision, and F1-score. Achieved 90.44% accuracy with 9.07 ms/image inference time. Deployed a Flask web demo for real-time testing.",0.2390940752120123,0.8192383050918579,-8.229720115661621,,
jd_20260521033249_7_27.json,0,SYSTEM SCORING IMAGE SCAN ANSWER SHEET,Designed an end-to-end Computer Vision system for automatic multiple-choice answer sheet grading. Built and augmented a custom dataset (5640 images) to improve model robustness. Trained YOLOv8 to detect answer bubbles and classify filled/unfilled responses. Achieved 100% accuracy on clean PDF inputs with 67.5 ms/image inference speed. Deployed the system as a Flask-based local web application.,0.11213389645225447,0.812485933303833,-8.748644828796387,,
jd_20260521033249_7_27.json,1,TRAFFIC SIGN RECOGNITION,"Built a CNN-based image classification system for traffic sign recognition. Performed EDA, handled class imbalance, and applied data preprocessing techniques. Evaluated model performance using Accuracy, Precision, and F1-score. Achieved 90.44% accuracy with 9.07 ms/image inference time. Deployed a Flask web demo for real-time testing.",0.620082599336393,0.814176082611084,-8.851397514343262,,
jd_20260521124012_7_28.json,0,SYSTEM SCORING IMAGE SCAN ANSWER SHEET,Designed an end-to-end Computer Vision system for automatic multiple-choice answer sheet grading. Built and augmented a custom dataset (5640 images) to improve model robustness. Trained YOLOv8 to detect answer bubbles and classify filled/unfilled responses. Achieved 100% accuracy on clean PDF inputs with 67.5 ms/image inference speed. Deployed the system as a Flask-based local web application.,0.7232201666410631,0.8301734924316406,-7.931405544281006,,
jd_20260521124012_7_28.json,1,TRAFFIC SIGN RECOGNITION,"Built a CNN-based image classification system for traffic sign recognition. Performed EDA, handled class imbalance, and applied data preprocessing techniques. Evaluated model performance using Accuracy, Precision, and F1-score. Achieved 90.44% accuracy with 9.07 ms/image inference time. Deployed a Flask web demo for real-time testing.",0.25561160686337303,0.8192088007926941,-8.483529090881348,,
jd_20260521124223_7_29.json,0,SYSTEM SCORING IMAGE SCAN ANSWER SHEET,Designed an end-to-end Computer Vision system for automatic multiple-choice answer sheet grading. Built and augmented a custom dataset (5640 images) to improve model robustness. Trained YOLOv8 to detect answer bubbles and classify filled/unfilled responses. Achieved 100% accuracy on clean PDF inputs with 67.5 ms/image inference speed. Deployed the system as a Flask-based local web application.,0.6392696758534671,0.8163310885429382,-8.837903022766113,,
jd_20260521124223_7_29.json,1,TRAFFIC SIGN RECOGNITION,"Built a CNN-based image classification system for traffic sign recognition. Performed EDA, handled class imbalance, and applied data preprocessing techniques. Evaluated model performance using Accuracy, Precision, and F1-score. Achieved 90.44% accuracy with 9.07 ms/image inference time. Deployed a Flask web demo for real-time testing.",0.3175558359378386,0.8111958503723145,-8.874011039733887,,
